term_id	term_description	gene_count	gene_ratio_str	gene_ratio	bg_ratio	p_value	adj_p_value	gene_symbols
Protein Ubiquitination (GO:0016567)	Protein Ubiquitination (GO:0016567)	2	2/434	0.004608294930875576	434	0.3199192306623111	0.3720203625130304	UBE4A;TRIP12
Neuron Projection Morphogenesis (GO:0048812)	Neuron Projection Morphogenesis (GO:0048812)	1	1/146	0.00684931506849315	146	0.3221477072576515	0.3735444924611514	SLC9A6
Axon Guidance (GO:0007411)	Axon Guidance (GO:0007411)	1	1/149	0.006711409395973154	149	0.327562046155542	0.3776706877770697	PLXNB2
Skeletal System Development (GO:0001501)	Skeletal System Development (GO:0001501)	1	1/149	0.006711409395973154	149	0.327562046155542	0.3776706877770697	AKAP13
protein-RNA Complex Assembly (GO:0022618)	protein-RNA Complex Assembly (GO:0022618)	1	1/150	0.006666666666666667	150	0.3293573790933297	0.3786679471496756	YTHDC1
Positive Regulation Of NF-kappaB Transcription Factor Activity (GO:0051092)	Positive Regulation Of NF-kappaB Transcription Factor Activity (GO:0051092)	1	1/152	0.006578947368421052	152	0.3329339475439765	0.3817017370433759	EP300
Ribosome Biogenesis (GO:0042254)	Ribosome Biogenesis (GO:0042254)	1	1/155	0.0064516129032258064	155	0.3382637377900799	0.3867228687656251	NOLC1
Peptide Biosynthetic Process (GO:0043043)	Peptide Biosynthetic Process (GO:0043043)	1	1/158	0.006329113924050633	158	0.3435517406268233	0.3916682309106921	ZAR1L
Protein Autophosphorylation (GO:0046777)	Protein Autophosphorylation (GO:0046777)	1	1/162	0.006172839506172839	162	0.3505379636116766	0.3985166234356213	CAD
Heart Development (GO:0007507)	Heart Development (GO:0007507)	1	1/171	0.005847953216374269	171	0.3659913340474585	0.4145378913886553	AKAP13
Generation Of Neurons (GO:0048699)	Generation Of Neurons (GO:0048699)	1	1/172	0.005813953488372093	172	0.3676859429761783	0.4145378913886553	PLXNB2
Cell-Cell Adhesion Via Plasma-Membrane Adhesion Molecules (GO:0098742)	Cell-Cell Adhesion Via Plasma-Membrane Adhesion Molecules (GO:0098742)	1	1/172	0.005813953488372093	172	0.3676859429761783	0.4145378913886553	PLXNB2
Positive Regulation Of Cellular Biosynthetic Process (GO:0031328)	Positive Regulation Of Cellular Biosynthetic Process (GO:0031328)	1	1/174	0.005747126436781609	174	0.3710618397239662	0.417188311512857	PLXNB2
Positive Regulation Of I-kappaB kinase/NF-kappaB Signaling (GO:0043123)	Positive Regulation Of I-kappaB kinase/NF-kappaB Signaling (GO:0043123)	1	1/175	0.005714285714285714	175	0.372743150352701	0.4179241382742405	AKAP13
