term_id	term_description	gene_count	gene_ratio_str	gene_ratio	bg_ratio	p_value	adj_p_value	gene_symbols
Positive Regulation Of Protein Transport (GO:0051222)	Positive Regulation Of Protein Transport (GO:0051222)	1	1/70	0.014285714285714285	70	0.0378423625037638	0.0536446677251157	TPR
Regulation Of Cellular Localization (GO:0060341)	Regulation Of Cellular Localization (GO:0060341)	1	1/72	0.013888888888888888	72	0.0389041837581843	0.0539638677936105	TPR
Positive Regulation Of Protein Localization To Nucleus (GO:1900182)	Positive Regulation Of Protein Localization To Nucleus (GO:1900182)	1	1/72	0.013888888888888888	72	0.0389041837581843	0.0539638677936105	TPR
Import Into Nucleus (GO:0051170)	Import Into Nucleus (GO:0051170)	1	1/74	0.013513513513513514	74	0.0399649396748714	0.0548455023197704	TPR
Regulation Of BMP Signaling Pathway (GO:0030510)	Regulation Of BMP Signaling Pathway (GO:0030510)	1	1/75	0.013333333333333334	75	0.0404949184271054	0.0549878366010168	NUMA1
Protein Import Into Nucleus (GO:0006606)	Protein Import Into Nucleus (GO:0006606)	1	1/79	0.012658227848101266	79	0.0426121749090392	0.0566697996212996	TPR
Positive Regulation Of Cytoskeleton Organization (GO:0051495)	Positive Regulation Of Cytoskeleton Organization (GO:0051495)	1	1/79	0.012658227848101266	79	0.0426121749090392	0.0566697996212996	NUMA1
Spindle Assembly (GO:0051225)	Spindle Assembly (GO:0051225)	1	1/81	0.012345679012345678	81	0.0436692097020192	0.0574829393016375	NUMA1
Positive Regulation Of Protein Localization (GO:1903829)	Positive Regulation Of Protein Localization (GO:1903829)	1	1/85	0.011764705882352941	85	0.0457800971719973	0.0590563253518765	NUMA1
Establishment Of Protein Localization To Organelle (GO:0072594)	Establishment Of Protein Localization To Organelle (GO:0072594)	1	1/85	0.011764705882352941	85	0.0457800971719973	0.0590563253518765	TPR
Sensory Perception Of Mechanical Stimulus (GO:0050954)	Sensory Perception Of Mechanical Stimulus (GO:0050954)	1	1/89	0.011235955056179775	89	0.0478867482017097	0.0611622823566392	TPRN
Sensory Perception Of Sound (GO:0007605)	Sensory Perception Of Sound (GO:0007605)	1	1/92	0.010869565217391304	92	0.0494639609101419	0.0625573623275324	TPRN
